194 - 0.9148124602670057 - (((13, 11), (1,)), (6, 3, 1, 1)) - 0.29566138982772827
206 - 0.9155555555555556 - (((5, 15), (1,)), (11, 4, 2, 1)) - 0.6542592644691467
211 - 0.9157142857142857 - (((6, 14), (1,)), (10, 4, 2, 1)) - 0.6554232835769653
214 - 0.916005291005291 - (((9, 12), (2,)), (8, 3, 1, 1)) - 0.7145767211914062
218 - 0.9163359788359788 - (((9, 12), (1,)), (8, 3, 1, 1)) - 0.48476189374923706
222 - 0.9168831168831169 - (((14, 11), (2,)), (6, 2, 1, 1)) - 0.6745238304138184
225 - 0.9173160173160173 - (((14, 11), (1,)), (6, 2, 1, 1)) - 0.5533862709999084
226 - 0.9173333333333333 - (((10, 12), (2,)), (7, 3, 1, 1)) - 0.6498412489891052
234 - 0.9176666666666666 - (((10, 12), (1,)), (7, 3, 1, 1)) - 0.375211626291275
237 - 0.9178814382896016 - (((7, 14), (1,)), (8, 4, 2, 1)) - 0.5667724609375
247 - 0.918732782369146 - (((11, 12), (2,)), (6, 3, 1, 1)) - 0.3857671916484833
252 - 0.9190771349862259 - (((11, 12), (1,)), (6, 3, 1, 1)) - 0.3886243402957916
257 - 0.9193473193473194 - (((15, 11), (1,)), (5, 2, 1, 1)) - 0.5461905002593994
261 - 0.9198232323232323 - (((12, 12), (2,)), (6, 3, 1, 1)) - 0.6770634651184082
264 - 0.9201388888888888 - (((12, 12), (1,)), (6, 3, 1, 1)) - 0.6236507892608643
266 - 0.9203296703296704 - (((8, 13), (1,)), (8, 3, 1, 1)) - 0.3697619140148163
282 - 0.9217094017094017 - (((9, 13), (1,)), (7, 3, 1, 1)) - 0.633915364742279
294 - 0.9226495726495727 - (((13, 12), (1,)), (6, 2, 1, 1)) - 0.4729100465774536
305 - 0.923992673992674 - (((14, 12), (2,)), (5, 2, 1, 1)) - 0.6756084561347961
312 - 0.9244505494505495 - (((14, 12), (1,)), (5, 2, 1, 1)) - 0.7474603056907654
313 - 0.9246428571428571 - (((8, 14), (1,)), (7, 3, 1, 1)) - 0.5729629397392273
317 - 0.9247863247863248 - (((15, 12), (2,)), (5, 2, 1, 1)) - 0.5670635104179382
320 - 0.9252136752136753 - (((15, 12), (1,)), (5, 2, 1, 1)) - 0.7155026197433472
335 - 0.9263492063492064 - (((9, 14), (1,)), (7, 3, 1, 1)) - 0.3647089898586273
337 - 0.926530612244898 - (((7, 15), (3,)), (8, 3, 1, 1)) - 0.7092328071594238
343 - 0.926923076923077 - (((12, 13), (1,)), (6, 2, 1, 1)) - 0.6213492155075073
345 - 0.9272108843537414 - (((7, 15), (1,)), (8, 3, 1, 1)) - 0.39468252658843994
346 - 0.9272727272727272 - (((10, 14), (2,)), (6, 3, 1, 1)) - 0.4860846698284149
350 - 0.9275974025974026 - (((10, 14), (1,)), (6, 3, 1, 1)) - 0.4581216871738434
357 - 0.9283333333333333 - (((8, 15), (2,)), (7, 3, 1, 1)) - 0.6973015666007996
358 - 0.9285389167045972 - (((13, 13), (1,)), (5, 2, 1, 1)) - 0.7443386316299438
362 - 0.9286666666666666 - (((8, 15), (1,)), (7, 3, 1, 1)) - 0.6579629778862
364 - 0.9289940828402367 - (((14, 13), (2,)), (5, 2, 1, 1)) - 0.6533069014549255
368 - 0.9294167371090448 - (((14, 13), (1,)), (5, 2, 1, 1)) - 0.5524073839187622
373 - 0.92996632996633 - (((9, 15), (1,)), (6, 3, 1, 1)) - 0.5939682722091675
374 - 0.9301775147928995 - (((15, 13), (1,)), (5, 2, 1, 1)) - 0.5739153623580933
376 - 0.9303030303030303 - (((11, 14), (1,)), (6, 2, 1, 1)) - 0.6916666626930237
383 - 0.9313186813186813 - (((12, 14), (2,)), (5, 2, 1, 1)) - 0.6926984190940857
392 - 0.9323753169907016 - (((13, 14), (2,)), (5, 2, 1, 1)) - 0.5346031785011292
394 - 0.9324444444444444 - (((10, 15), (2,)), (6, 2, 1, 1)) - 0.7126190662384033
396 - 0.9327979712595097 - (((13, 14), (1,)), (5, 2, 1, 1)) - 0.5581481456756592
397 - 0.9328888888888889 - (((10, 15), (1,)), (6, 2, 1, 1)) - 0.3642328083515167
406 - 0.9342657342657342 - (((11, 15), (1,)), (5, 2, 1, 1)) - 0.46769842505455017
407 - 0.9346011131725418 - (((14, 14), (1,)), (4, 2, 1, 1)) - 0.4624338746070862
412 - 0.935064935064935 - (((15, 14), (2,)), (4, 2, 1, 1)) - 0.6571692824363708
413 - 0.9354700854700855 - (((12, 15), (1,)), (5, 2, 1, 1)) - 0.4488624334335327
414 - 0.9354978354978355 - (((15, 14), (1,)), (4, 2, 1, 1)) - 0.386084645986557
419 - 0.9364891518737672 - (((13, 15), (1,)), (5, 2, 1, 1)) - 0.6129629611968994
423 - 0.9380952380952381 - (((14, 15), (1,)), (4, 2, 1, 1)) - 0.3617195785045624
425 - 0.938989898989899 - (((15, 15), (1,)), (4, 2, 1, 1)) - 0.4722486734390259
